Seller Platform,Seller SKU,Manufacture Name,Manufacture Code,Product Title,Description,Category,Subcategories,Packaging,Qty,Product Page URL,Image URL
DC Dental, 523-32108 , ContactEZ , 523-32108 ,IPR Strip System Yellow Starter Single XF Serrated 0.07mm 8/Pk,"  * Start to open the contact safely and easily with a serrated edge IPR and IPR Plus Strip System is the safest, most accurate way of preforming IPR. Exceptional tactile control through manual reproximation, built in strip flexibility, and patient-safe handed design eliminate stress for both doctors and their patients Strip Thickness:
  * 0.07mm
  * Strip Width: 4mm
  * Diamond Coating: Single-Sided
  * Diamond Grit: Extra-Fine
  * Serration: Top and Bottom

", Supplies ,Finishing & Polishing,Pk,8,https://www.dcdental.com/IPR-Strip-System-32108,https://www.dcdental.com/images/432255776117.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 589-PSK , Pulpdent Corporation , 589-PSK ,Pressure Syringe Combo Kit,"The original screw syringe still offers the most precise method for obturating
root canals with Pulpdent Root Canal Sealer. Fill the apex first to create a
positive seal and then accurately backfill the remaining canal space using 30,
25, 22 or 18 gauge blunt needles. Stainless steel construction. Sterilize by
any method.

", Supplies ,Endodontics,,,https://www.dcdental.com/RC-Pressure-Needles-PSK,https://www.dcdental.com/images/810021470160.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 761-AEC/PMSPMLTN , American Eagle Instrument , 761-AEC/PMSPMLTN ,"Mopper Super Plugger Med-Lg TN 1/4"" SS","Mopper Super Plugger Med-Lg TN 1/4"" SS

", Supplies ,Instruments,,,https://www.dcdental.com/Mr.-Mopper-Super-Plugger-AEC-PMSPMLTN,https://www.dcdental.com/images/145062446769.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 614-7300100 , DentLight , 614-7300100 ,Ultrafast Wireless Diode Laser Kit,"Ultrafast Wireless Diode Laser Kit

", Supplies ,Handpieces,,,https://www.dcdental.com/Ultrafast-Laser-7300100,https://www.dcdental.com/images/801480785179.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 424-1003446 , Premier Dental , 424-1003446 ,Excavator DE TB 8,"Excavator DE TB 8

", Supplies ,Instruments,,,https://www.dcdental.com/Excavators-1003446,https://www.dcdental.com/images/120678444163.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 399-1234F3 ," Lang Dental Mfg. Co., Inc. ", 399-1234F3 ,Jet Denture Repair Pound Pack F3,"Fast curing acrylic resin for denture repairs. Quick, consistent results.

", Supplies ,Acrylics,,,https://www.dcdental.com/Jet-Denture-Repair-1234F3,https://www.dcdental.com/images/722171355504.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 761-AEC/PMSPMLTNZ , American Eagle Instrument , 761-AEC/PMSPMLTNZ ,"Mopper Super Plugger Med-Lg TN 3/8"" SS","Mopper Super Plugger Med-Lg TN 3/8"" SS

", Supplies ,Instruments,,,https://www.dcdental.com/Mr.-Mopper-Super-Plugger-AEC-PMSPMLTNZ,https://www.dcdental.com/images/671548563311.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 517-ULT-PSCK , Solmetex , 517-ULT-PSCK ,PowerSonic Ultrasonic Cleaning Solution 32oz Bottle x 4/Cs,"PowerSonic Ultrasonic Cleaning Solution is a patented, plant and mineral
based, 100% enzyme free, catalytic cleaner that super charges the action of
your ultrasonic bath and instrument washer using nano-oxygen bubbles. The
power comes from a naturally occurring technology platform that provides
enhanced gas transfers, instantaneous odor elimination, and the breakdown of
organic waste to essentially “eat up” any remaining contaminants.

", Supplies ,Infection Control,Cs,4,https://www.dcdental.com/PowerSonic-Ultrasonic-Cleane-ULT-PSCK,https://www.dcdental.com/images/356637701729.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R301156 , Coltene/Whaledent , 777-R301156 ,Alpen Carbides O&S Burs 10/Pk FGSS 1156,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk FGSS ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R301156,https://www.dcdental.com/images/827866647756.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R300556 , Coltene/Whaledent , 777-R300556 ,Alpen Carbides O&S Burs 10/Pk FGSS 556,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk FGSS ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R300556,https://www.dcdental.com/images/333613406014.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R300699 , Coltene/Whaledent , 777-R300699 ,Alpen Carbides O&S Burs 10/Pk FGSS 699,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk FGSS ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R300699,https://www.dcdental.com/images/202128334009.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R300700 , Coltene/Whaledent , 777-R300700 ,Alpen Carbides O&S Burs 10/Pk FGSS 700,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk FGSS ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R300700,https://www.dcdental.com/images/108624068458.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R300701 , Coltene/Whaledent , 777-R300701 ,Alpen Carbides O&S Burs 10/Pk FGSS 701,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk FGSS ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R300701,https://www.dcdental.com/images/288108834202.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R301157 , Coltene/Whaledent , 777-R301157 ,Alpen Carbides O&S Burs 10/Pk FGSS 1157,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk FGSS ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R301157,https://www.dcdental.com/images/358883744635.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R301557 , Coltene/Whaledent , 777-R301557 ,Alpen Carbides O&S Burs 10/Pk FGSS 1557,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk FGSS ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R301557,https://www.dcdental.com/images/315850635716.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R600004 , Coltene/Whaledent , 777-R600004 ,Alpen Carbides O&S Burs 10/Pk HP 4,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R600004,https://www.dcdental.com/images/847001116602.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R600008 , Coltene/Whaledent , 777-R600008 ,Alpen Carbides O&S Burs 10/Pk HP 8,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R600008,https://www.dcdental.com/images/431744317718.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R6001/4 , Coltene/Whaledent , 777-R6001/4 ,Alpen Carbides O&S Burs 10/Pk HP 1/4,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R6001-4,https://www.dcdental.com/images/105118786713.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R600557 , Coltene/Whaledent , 777-R600557 ,Alpen Carbides O&S Burs 10/Pk HP 557,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R600557,https://www.dcdental.com/images/534570201258.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R600559 , Coltene/Whaledent , 777-R600559 ,Alpen Carbides O&S Burs 10/Pk HP 559,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R600559,https://www.dcdental.com/images/365282181176.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R600560 , Coltene/Whaledent , 777-R600560 ,Alpen Carbides O&S Burs 10/Pk HP 560,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R600560,https://www.dcdental.com/images/677408666888.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R600701 , Coltene/Whaledent , 777-R600701 ,Alpen Carbides O&S Burs 10/Pk HP 701,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R600701,https://www.dcdental.com/images/442880264538.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R600702 , Coltene/Whaledent , 777-R600702 ,Alpen Carbides O&S Burs 10/Pk HP 702,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R600702,https://www.dcdental.com/images/248215226024.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R600703 , Coltene/Whaledent , 777-R600703 ,Alpen Carbides O&S Burs 10/Pk HP 703,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk HP ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R600703,https://www.dcdental.com/images/357322005801.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 517-ULT-PSBT , Solmetex , 517-ULT-PSBT ,PowerSonic Ultrasonic Cleaning Solution 32oz/Bottle,"PowerSonic Ultrasonic Cleaning Solution is a patented, plant and mineral
based, 100% enzyme free, catalytic cleaner that super charges the action of
your ultrasonic bath and instrument washer using nano-oxygen bubbles. The
power comes from a naturally occurring technology platform that provides
enhanced gas transfers, instantaneous odor elimination, and the breakdown of
organic waste to essentially “eat up” any remaining contaminants.

", Supplies ,Infection Control,,,https://www.dcdental.com/PowerSonic-Ultrasonic-Cleane-ULT-PSBT,https://www.dcdental.com/images/460652067613.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-S220 , Parkell , 685-S220 ,Brush&Bond MAX Kit,"Brush&Bond MAX eliminates post-op sensitivity, treats dentin hypersensitivity
and seals crown preps with a durable surface coat during temporization.
Because of its low film thickness, it is imperceptible in x-rays and won’t
interfere with the seating of lab fabricated restorations when used in
conjunction with resin based adhesive cements. It is compatible with all of
Parkell's restorative composites as well as all light-cure, self-cure and
dual-cure methacrylate-based composites and cements currently available.

", Supplies ,Cosmetic Dentistry,,,https://www.dcdental.com/Brush-Bond-MAX-S220,https://www.dcdental.com/images/643507446188.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-S222 , Parkell , 685-S222 ,Brush&Bond MAX 3mL,"Brush&Bond MAX eliminates post-op sensitivity, treats dentin hypersensitivity
and seals crown preps with a durable surface coat during temporization.
Because of its low film thickness, it is imperceptible in x-rays and won’t
interfere with the seating of lab fabricated restorations when used in
conjunction with resin based adhesive cements. It is compatible with all of
Parkell's restorative composites as well as all light-cure, self-cure and
dual-cure methacrylate-based composites and cements currently available.

", Supplies ,Cosmetic Dentistry,,,https://www.dcdental.com/Brush-Bond-MAX-S222,https://www.dcdental.com/images/130425176636.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 517-ULT-PSPC , Solmetex , 517-ULT-PSPC ,PowerSonic Ultrasonic Cleaning Solution 1oz Packet x 24/Cs,"PowerSonic Ultrasonic Cleaning Solution is a patented, plant and mineral
based, 100% enzyme free, catalytic cleaner that super charges the action of
your ultrasonic bath and instrument washer using nano-oxygen bubbles. The
power comes from a naturally occurring technology platform that provides
enhanced gas transfers, instantaneous odor elimination, and the breakdown of
organic waste to essentially “eat up” any remaining contaminants.

", Supplies ,Infection Control,Cs,24,https://www.dcdental.com/PowerSonic-Ultrasonic-Cleane-ULT-PSPC,https://www.dcdental.com/images/155823375122.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 145-3277 , Shofu Dental Corp. , 145-3277 ,CX-Plus GlasIonomer Capsules 50/Pk,"An enhanced glass ionomer luting cement with prolonged working time.

", Supplies ,Cements & Liners,Pk,50,https://www.dcdental.com/GlasIonomer-CX-Plus-3277,https://www.dcdental.com/images/821605218351.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 252-2B0304X , Baxter Healthcare , 252-2B0304X ,Sterile Water for Injection USP 1000mL 14/Case,"Sterile Water for Injection

", Supplies ,Surgical Products,Case,14,https://www.dcdental.com/BAXTER-Sterile-Water-2B0304X,https://www.dcdental.com/images/327557301115.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 685-D693 , Parkell , 685-D693 ,Perio Tip (for Turbo Piezo scaler),"Easy to handle and very durable. Three styles to choose from, sure to cover
all of your supragingival and subgingival debridement needs. All inserts fit
Parkell’s TurboPIEZO Scaler and most EMS-branded scalers.

", Supplies ,Small Equipment,,,https://www.dcdental.com/Piezo-Scaler-Tips-D693,https://www.dcdental.com/images/216442808252.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 399-1223B1 ," Lang Dental Mfg. Co., Inc. ", 399-1223B1 ,Jet Denture Repair Professional Pack B1,"Fast curing acrylic resin for denture repairs. Quick, consistent results.

", Supplies ,Acrylics,,,https://www.dcdental.com/Jet-Denture-Repair-1223B1,https://www.dcdental.com/images/803766817819.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 644-031457520 , Denmat , 644-031457520 ,GeriStore Syringeable Value Kit A3,"

", Supplies ,Cements & Liners,,,https://www.dcdental.com/Geristore-31457520,https://www.dcdental.com/dc-dental/img/no_image_available.jpeg?resizeid=2&resizeh=600&resizew=600
DC Dental, 399-1223F1 ," Lang Dental Mfg. Co., Inc. ", 399-1223F1 ,Jet Denture Repair Professional Pack F1,"Fast curing acrylic resin for denture repairs. Quick, consistent results.

", Supplies ,Acrylics,,,https://www.dcdental.com/Jet-Denture-Repair-1223F1,https://www.dcdental.com/images/400786147638.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 399-1223F2 ," Lang Dental Mfg. Co., Inc. ", 399-1223F2 ,Jet Denture Repair Professional Pack F2,"Fast curing acrylic resin for denture repairs. Quick, consistent results.

", Supplies ,Acrylics,,,https://www.dcdental.com/Jet-Denture-Repair-1223F2,https://www.dcdental.com/images/130535263615.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R200005 , Coltene/Whaledent , 777-R200005 ,Alpen Carbides O&S Burs 10/Pk RA 5,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk RA ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R200005,https://www.dcdental.com/images/363453138660.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 777-R200008 , Coltene/Whaledent , 777-R200008 ,Alpen Carbides O&S Burs 10/Pk RA 8,"Alpen Carbide Operative and Surgical friction grip surgical length burs are
rotary instruments used for various dental procedures. Eliminates joint
breakage: one-piece construction eliminates brazed joint breakage and rusting
Friction grip surgical length shank (FGOS) Last longer Designed to rapidly cut
amalgam, porcelain, metal, enamel and dentin Cuts freely and aggressively
without stalling or clogging Reduces prep and chair time

", Supplies ,Burs & Diamonds,Pk RA ,10,https://www.dcdental.com/Alpen-Carbides-Operative-Surgical-R200008,https://www.dcdental.com/images/137717247708.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 644-CR1043 , Denmat , 644-CR1043 ,PERFECTemp II Syringe A2,"Perfectemp II is the tried-and-true provisional with a 14-year satisfaction
history. This self-cure, bis-acrylic temporary crown and bridge material has
the strength to resist breakage and wearing, combined with the shade options
and polishability to match the esthetics of a natural-looking tooth.
Perfectemp II is the temporary solution that's right for your patients and
your practice.

", Supplies ,Acrylics,,,https://www.dcdental.com/Perfectemp-II-CR1043,https://www.dcdental.com/images/577085545479.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 644-CR1039 , Denmat , 644-CR1039 ,PERFECTemp II Syringe A1,"Perfectemp II is the tried-and-true provisional with a 14-year satisfaction
history. This self-cure, bis-acrylic temporary crown and bridge material has
the strength to resist breakage and wearing, combined with the shade options
and polishability to match the esthetics of a natural-looking tooth.
Perfectemp II is the temporary solution that's right for your patients and
your practice.

", Supplies ,Acrylics,,,https://www.dcdental.com/Perfectemp-II-CR1039,https://www.dcdental.com/images/882178354235.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-UI325K , Hu-Friedy , 616-UI325K ,UltraSonic Insert Streamline #3 Beavertail 25k,"Streamline™#3 Beavertail Insert. Broad, flat ""beavertail"" tip, yellow resin
handle, water delivery from the base of the tip, 25kHz

", Supplies ,Preventives,,,https://www.dcdental.com/Ultrasonic-Inserts-UI325K,https://www.dcdental.com/images/518775260043.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 644-CR1042 , Denmat , 644-CR1042 ,PERFECTemp II Syringe A3.5,"Perfectemp II is the tried-and-true provisional with a 14-year satisfaction
history. This self-cure, bis-acrylic temporary crown and bridge material has
the strength to resist breakage and wearing, combined with the shade options
and polishability to match the esthetics of a natural-looking tooth.
Perfectemp II is the temporary solution that's right for your patients and
your practice.

", Supplies ,Acrylics,,,https://www.dcdental.com/Perfectemp-II-CR1042,https://www.dcdental.com/images/863425848615.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMNOS1 , Hu-Friedy , 616-IMNOS1 ,IMS Infinity Oral Surgery Cassette Gray,"Accommodates 12 instruments, 4 elevators, 3 hinged instruments in the lid and
has a separate accessory area. Exterior Dimensions 8"" x 14.5"" x 1.25"" (203 mm
x 368 mm x 32 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Oral-Surgery-Cassette-IMNOS1,https://www.dcdental.com/images/656607817581.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMNOS0 , Hu-Friedy , 616-IMNOS0 ,IMS Infinity Oral Surgery Cassette Red,"Accommodates 12 instruments, 4 elevators, 3 hinged instruments in the lid and
has a separate accessory area. Exterior Dimensions 8"" x 14.5"" x 1.25"" (203 mm
x 368 mm x 32 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Oral-Surgery-Cassette-IMNOS0,https://www.dcdental.com/images/817338015404.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMNOS3 , Hu-Friedy , 616-IMNOS3 ,IMS Infinity Oral Surgery Cassette Orange,"Accommodates 12 instruments, 4 elevators, 3 hinged instruments in the lid and
has a separate accessory area. Exterior Dimensions 8"" x 14.5"" x 1.25"" (203 mm
x 368 mm x 32 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Oral-Surgery-Cassette-IMNOS3,https://www.dcdental.com/images/778622668778.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMNOS11 , Hu-Friedy , 616-IMNOS11 ,IMS Infinity Oral Surgery Cassette Ocean,"Accommodates 12 instruments, 4 elevators, 3 hinged instruments in the lid and
has a separate accessory area. Exterior Dimensions 8"" x 14.5"" x 1.25"" (203 mm
x 368 mm x 32 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Oral-Surgery-Cassette-IMNOS11,https://www.dcdental.com/images/613118117166.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMNOS4 , Hu-Friedy , 616-IMNOS4 ,IMS Infinity Oral Surgery Cassette Purple,"Accommodates 12 instruments, 4 elevators, 3 hinged instruments in the lid and
has a separate accessory area. Exterior Dimensions 8"" x 14.5"" x 1.25"" (203 mm
x 368 mm x 32 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Oral-Surgery-Cassette-IMNOS4,https://www.dcdental.com/images/325827801600.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMNOS5 , Hu-Friedy , 616-IMNOS5 ,IMS Infinity Oral Surgery Cassette Yellow,"Accommodates 12 instruments, 4 elevators, 3 hinged instruments in the lid and
has a separate accessory area. Exterior Dimensions 8"" x 14.5"" x 1.25"" (203 mm
x 368 mm x 32 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Oral-Surgery-Cassette-IMNOS5,https://www.dcdental.com/images/438836363738.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 163-14736 ," Tokuyama America, Inc. ", 163-14736 ,One-Up Bond F Plus 5mL Bottle A,"6th generation. Light-cured, self-etching bonding agent that permits a
simplified procedure by eliminating the pretreatment of the tooth when
performing direct composite restorations. No etching, no rinsing and no
drying. Mix-Apply-Light Cure. It is also fluoride releasing.

", Supplies ,Cosmetic Dentistry,,,https://www.dcdental.com/One-Up-Bond-F-Plus-14736,https://www.dcdental.com/images/250836804246.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 163-14737 ," Tokuyama America, Inc. ", 163-14737 ,One-Up Bond F Plus 5mL Bottle B,"6th generation. Light-cured, self-etching bonding agent that permits a
simplified procedure by eliminating the pretreatment of the tooth when
performing direct composite restorations. No etching, no rinsing and no
drying. Mix-Apply-Light Cure. It is also fluoride releasing.

", Supplies ,Cosmetic Dentistry,,,https://www.dcdental.com/One-Up-Bond-F-Plus-14737,https://www.dcdental.com/images/502814708184.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMNOS9 , Hu-Friedy , 616-IMNOS9 ,IMS Infinity Oral Surgery Cassette Green,"Accommodates 12 instruments, 4 elevators, 3 hinged instruments in the lid and
has a separate accessory area. Exterior Dimensions 8"" x 14.5"" x 1.25"" (203 mm
x 368 mm x 32 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Oral-Surgery-Cassette-IMNOS9,https://www.dcdental.com/images/824014226429.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMNOS8 , Hu-Friedy , 616-IMNOS8 ,IMS Infinity Oral Surgery Cassette Blue,"Accommodates 12 instruments, 4 elevators, 3 hinged instruments in the lid and
has a separate accessory area. Exterior Dimensions 8"" x 14.5"" x 1.25"" (203 mm
x 368 mm x 32 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Oral-Surgery-Cassette-IMNOS8,https://www.dcdental.com/images/284576740076.01.png?resizeid=2&resizeh=600&resizew=600
DC Dental, 616-IMN9146 , Hu-Friedy , 616-IMN9146 ,IMS Infinity Series 14-Inst DD Cassette Lavender,"Cassette holds 14 instruments. Exterior Dimensions 4.5"" x 8"" x 1.5"" (114 mm x
203 mm x 38 mm).

", Supplies ,Infection Control,,,https://www.dcdental.com/IMS-Infinity-Series-Double-Decker-Cassette14-Instrument-IMN9146,https://www.dcdental.com/images/714044446662.01.png?resizeid=2&resizeh=600&resizew=600
